ID_IGR,DATE,HABITAT,GENUS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,11/6/2013,Pool,Tricop_group,0.3175,2.5313,13.8319,47.1208,19.5348,10.5486,0,0,106.5309,0,185.0493,0,0,0,0,0,0,0,0,0,0,0,0
1,11/6/2013,Pool,Tricop_group,0.05,0,0.8699,1.8379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11/6/2013,Pool,Tricop_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11/6/2013,Pool,Tricop_group,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11/6/2013,Riff,Tricop_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11/6/2013,Riff,Tricop_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11/6/2013,Riff,Tricop_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11/6/2013,Riff,Tricop_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11/6/2013,Wood,Tricop_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11/6/2013,Wood,Tricop_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11/6/2013,Wood,Tricop_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11/6/2013,Wood,Tricop_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6/30/2013,Pool,Tricop_group,0,0,0,0,3.2832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6/30/2013,Pool,Tricop_group,0,1.2126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6/30/2013,Pool,Tricop_group,0,0,0,4.7435,0,0,0,0,53.2654,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6/30/2013,Pool,Tricop_group,0,3.9257,6.916,21.9631,52.2022,94.4096,7.8745,77.9781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6/30/2013,Riff,Tricop_group,0,0,0,0,6.5663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6/30/2013,Riff,Tricop_group,0,0,0,0,9.8495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6/30/2013,Riff,Tricop_group,0,0,0,3.6758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6/30/2013,Riff,Tricop_group,0,0.6063,0.8699,3.6758,13.1326,15.8228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6/30/2013,Wood,Tricop_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6/30/2013,Wood,Tricop_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6/30/2013,Wood,Tricop_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6/30/2013,Wood,Tricop_group,0,0,0.3045,0,0,1.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7/27/2013,Pool,Tricop_group,0,0,0,0,0,137.4418,0,75.0955,104.8282,161.1798,92.5246,118.379,0,0,0,0,0,0,0,0,0,0,0
1,7/27/2013,Pool,Tricop_group,0,0,0,0,0,0,0,11.143,0,0,0,118.379,445.4943,0,0,0,0,0,0,0,0,0,0
1,7/27/2013,Pool,Tricop_group,0,0,0,0,9.9201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7/27/2013,Pool,Tricop_group,0,4.4259,20.4869,27.4769,19.699,0,0,0,15.1356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7/27/2013,Riff,Tricop_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7/27/2013,Riff,Tricop_group,0,0,0,5.5138,45.8001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7/27/2013,Riff,Tricop_group,0,0.9094,0,1.8379,3.2832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7/27/2013,Riff,Tricop_group,0,0.6063,0.8699,3.6758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7/27/2013,Wood,Tricop_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7/27/2013,Wood,Tricop_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7/27/2013,Wood,Tricop_group,0,0.5911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7/27/2013,Wood,Tricop_group,0,0.2425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
